Analysis,Metric,Value,Detail
"Monthly Performance",2025-03,976717.00,"Orders: 142 | Units: 678 | Previous Month Revenue: 486491.00 | MoM Growth: 100.77%"
"Monthly Performance",2025-04,944341.00,"Orders: 133 | Units: 594 | Previous Month Revenue: 976717.00 | MoM Growth: -3.31%"
"Monthly Performance",2025-07,929970.50,"Orders: 142 | Units: 612 | Previous Month Revenue: 522177.50 | MoM Growth: 78.09%"
"Monthly Performance",2025-08,884107.00,"Orders: 136 | Units: 623 | Previous Month Revenue: 929970.50 | MoM Growth: -4.93%"
"Monthly Performance",2025-05,831731.50,"Orders: 144 | Units: 607 | Previous Month Revenue: 944341.00 | MoM Growth: -11.92%"
"Monthly Performance",2025-11,789248.00,"Orders: 119 | Units: 563 | Previous Month Revenue: 570369.00 | MoM Growth: 38.37%"
"Monthly Performance",2025-09,761578.50,"Orders: 120 | Units: 536 | Previous Month Revenue: 884107.00 | MoM Growth: -13.86%"
"Monthly Performance",2025-01,645534.00,"Orders: 112 | Units: 487 | Previous Month Revenue: N/A | MoM Growth: N/A"
"Monthly Performance",2025-10,570369.00,"Orders: 106 | Units: 412 | Previous Month Revenue: 761578.50 | MoM Growth: -25.11%"
"Monthly Performance",2025-12,569795.00,"Orders: 127 | Units: 571 | Previous Month Revenue: 789248.00 | MoM Growth: -27.81%"
"Monthly Performance",2025-06,522177.50,"Orders: 91 | Units: 398 | Previous Month Revenue: 831731.50 | MoM Growth: -37.22%"
"Monthly Performance",2025-02,486491.00,"Orders: 98 | Units: 414 | Previous Month Revenue: 645534.00 | MoM Growth: -24.64%"
"Payment Performance","MoMo ",3686058.00,"Orders: 621 | AOV: 5935.68"
"Payment Performance",Cash,1419347.00,"Orders: 223 | AOV: 6364.78"
"Payment Performance","Unknown ",1417056.50,"Orders: 222 | AOV: 6383.14"
"Payment Performance","Bank Transfer",1207064.00,"Orders: 197 | AOV: 6127.23"
"Payment Performance",Card,1182534.50,"Orders: 207 | AOV: 5712.73"
"Product Performance","HP Laptop",3665220.00,"Category: Electronics | Orders: 180 | Overall Rank: #1"
"Product Performance","TV 43in",2384210.00,"Category: Electronics | Orders: 195 | Overall Rank: #2"
"Product Performance",Desk,885540.00,"Category: Furniture | Orders: 180 | Overall Rank: #3"
"Product Performance","Samsung A16",741625.00,"Category: Electronics | Orders: 205 | Overall Rank: #4"
"Product Performance",Printer,586910.00,"Category: Office Supplies | Orders: 166 | Overall Rank: #5"
"Regional Performance","Greater Accra",1681382.50,"Orders: 255 | Profit: 444023.67"
"Regional Performance",Bono,1574376.00,"Orders: 255 | Profit: 392104.03"
"Regional Performance",Western,1486586.50,"Orders: 234 | Profit: 347460.23"
"Regional Performance",Northern,1432821.00,"Orders: 221 | Profit: 364240.90"
"Regional Performance",Central,1406188.00,"Orders: 257 | Profit: 343997.51"
"Regional Performance",Ashanti,1330706.00,"Orders: 248 | Profit: 312947.98"
"Return Performance","Home Appliances",58.93,"Return Rate % | Returns: 99 | Orders: 168"
"Return Performance",Electronics,51.79,"Return Rate % | Returns: 303 | Orders: 585"
"Return Performance",Groceries,50.00,"Return Rate % | Returns: 104 | Orders: 208"
"Return Performance",Furniture,49.72,"Return Rate % | Returns: 176 | Orders: 354"
"Return Performance","Office Supplies",48.52,"Return Rate % | Returns: 82 | Orders: 169"
"Revenue Band",High,7048380.00,"Orders: 506 | Order Share: 34.42%"
"Revenue Band",Medium,1411205.00,"Orders: 398 | Order Share: 27.07%"
"Revenue Band",Low,452475.00,"Orders: 566 | Order Share: 38.50%"
"Shipping Performance","Takoradi Branch",3.90,"Average shipping lead time in days"
"Shipping Performance","Tamale Branch",3.70,"Average shipping lead time in days"
"Shipping Performance","Kumasi Branch",3.70,"Average shipping lead time in days"
"Shipping Performance","Sunyani Branch",3.50,"Average shipping lead time in days"
"Shipping Performance","Cape Coast Branch",3.50,"Average shipping lead time in days"
"Shipping Performance","Accra Branch",3.40,"Average shipping lead time in days"
"Top Products By Category","HP Laptop",3665220.00,"Category: Electronics | Category Rank: #1"
"Top Products By Category","TV 43in",2384210.00,"Category: Electronics | Category Rank: #2"
"Top Products By Category",Desk,885540.00,"Category: Furniture | Category Rank: #1"
"Top Products By Category","Samsung A16",741625.00,"Category: Electronics | Category Rank: #3"
"Top Products By Category",Printer,586910.00,"Category: Office Supplies | Category Rank: #1"
"Top Products By Category","Office Chair",425880.00,"Category: Furniture | Category Rank: #2"
"Top Products By Category","Electric Kettle",124101.00,"Category: Home Appliances | Category Rank: #1"
"Top Products By Category","Rice 5kg",98574.00,"Category: Groceries | Category Rank: #1"
